wn,1,2,3,4,5,6
3867.39,109.487,-4.97668,4.97668,49.7668,74.6502,9.95336
3866.89,9.95192,14.9279,-64.6875,69.6634,34.8317,0
3866.39,4.97524,-4.97524,59.7029,74.6286,4.97524,24.8762
3865.89,49.7452,19.8981,-49.7452,44.7707,119.388,114.414
3865.38,104.45,0,29.8428,114.397,74.607,-44.7642
3864.88,19.8923,9.94616,104.435,14.9192,39.7847,0
3864.38,79.5578,0,69.6131,49.7236,84.5302,134.254
3863.88,14.9149,0,14.9149,74.5747,84.5179,49.7164
3863.37,79.5348,4.97092,89.4766,24.8546,154.099,14.9128
3862.87,49.7021,9.94041,-14.9106,-9.94041,69.5829,24.851
3862.37,54.6643,-19.8779,54.6643,64.6033,-9.93897,69.5728
3861.86,64.594,24.8438,-49.6877,89.4378,49.6877,34.7814
3861.36,49.6805,19.8722,-4.96805,34.7763,-34.7763,24.8402
3860.86,44.706,14.902,4.96733,49.6733,9.93466,69.5426
3860.35,-29.7997,-14.8998,89.399,24.8331,74.4992,4.96661
3859.85,44.693,0,-34.7612,49.6589,24.8295,99.3178
3859.35,49.6517,14.8955,69.5124,14.8955,14.8955,74.4776
3858.84,89.3602,-9.92891,24.8223,84.3957,153.898,-39.7156
3858.34,-9.92747,4.96374,-4.96374,-14.8912,54.6011,-9.92747
3857.84,29.7781,9.92604,0,24.8151,-4.96302,-14.8891
3857.33,24.8115,-4.9623,24.8115,44.6607,94.2837,14.8869
3856.83,24.8079,19.8463,64.5006,104.193,29.7695,-14.8847
3856.32,99.2173,19.8435,59.5304,109.139,79.3738,-9.92173
3855.82,34.721,34.721,14.8804,54.5616,89.2826,34.721
3855.32,59.5131,-4.95943,74.3914,123.986,84.3103,49.5943
3854.81,74.3807,0,-54.5458,74.3807,14.8761,-9.91742
3854.31,9.91599,-9.91599,-4.95799,19.832,69.4119,-4.95799
3853.8,29.7437,-4.95728,-4.95728,84.2737,4.95728,-9.91455
3853.3,128.871,-19.8262,99.1312,79.3049,74.3484,94.1746
3852.79,-9.91168,0,9.91168,74.3376,54.5142,44.6026
3852.29,49.5512,0,59.4615,34.6859,14.8654,59.4615
3851.79,69.3617,-14.8632,39.6352,34.6808,69.3617,89.1793
3851.28,49.5369,19.8148,84.2127,113.935,29.7221,99.0738
3850.78,39.6238,19.8119,-4.95297,9.90594,9.90594,49.5297
3850.27,19.809,19.809,54.4748,123.806,108.95,39.618
3849.77,9.90307,-9.90307,-14.8546,64.37,59.4184,74.2731
3849.26,19.8033,-9.90164,-29.7049,54.459,108.918,9.90164
3848.76,74.2515,-14.8503,34.6507,59.4012,19.8004,29.7006
3848.25,49.4939,39.5951,29.6963,74.2408,19.7975,34.6457
3847.75,108.871,0,59.384,138.563,24.7433,-69.2814
3847.24,0,-14.8439,0,4.94795,49.4795,-4.94795
3846.74,9.89447,19.7889,0,49.4724,98.9447,0
3846.23,44.5187,-29.6791,59.3582,39.5722,-9.89304,9.89304
3845.72,69.2412,24.729,84.0787,59.3496,-14.8374,29.6748
3845.22,59.341,14.8353,34.6156,39.5607,84.0665,74.1763
3844.71,49.4437,-4.94437,-19.7775,49.4437,39.555,19.7775
3844.21,69.2112,39.5492,-29.6619,-4.94365,34.6056,39.5492
3843.7,113.688,14.8288,69.2011,34.6006,93.9158,84.03
3843.2,93.9022,-9.88444,59.3067,29.6533,29.6533,74.1333
3842.69,103.772,-29.649,-4.94151,64.2396,24.7075,49.4151
3842.18,59.2895,0,-83.9934,93.875,9.88158,9.88158
3841.68,59.2809,19.7603,83.9813,19.7603,-19.7603,-49.4007
3841.17,59.2723,-4.93936,0,59.2723,118.545,4.93936
3840.67,34.5705,14.8159,-9.87729,44.4478,103.712,34.5705
3840.16,113.572,0,4.93793,0,44.4414,64.1931
3839.65,103.681,14.8116,-39.4977,78.9954,64.1838,-24.6861
3839.15,39.492,0,69.111,93.7934,-24.6825,-24.6825
3838.64,103.651,-9.87156,74.0367,93.7799,59.2294,19.7431
3838.13,29.6104,-4.93507,74.026,39.4805,14.8052,-29.6104
3837.63,103.621,24.6718,88.8183,113.49,19.7374,69.0809
3837.12,14.8009,0,64.1373,-9.86727,4.93364,9.86727
3836.61,49.3292,14.7988,-4.93292,73.9938,9.86584,0
3836.11,-29.5932,4.93221,-39.4576,64.1187,113.441,49.3221
3835.6,39.4519,-4.93149,54.2464,29.5889,88.7668,44.3834
3835.09,39.4462,9.86155,24.6539,64.1001,59.1693,29.5847
3834.59,4.93006,-4.93006,128.182,0,-54.2307,24.6503
3834.08,-19.7174,29.5761,54.2228,108.446,-39.4348,29.5761
3833.57,54.215,19.7145,24.6432,44.3577,49.2863,59.1436
3833.06,-29.5675,-9.85584,88.7025,98.5584,44.3513,19.7117
3832.56,83.7625,0,83.7625,24.636,29.5632,0
3832.05,59.1179,19.706,0,78.8238,14.7795,64.0444
3831.54,49.2578,14.7773,0,68.9609,54.1835,34.4804
3831.03,24.6253,9.85012,64.0258,19.7002,108.351,29.5504
3830.53,54.1678,-4.92435,29.5461,44.3191,19.6974,-9.84869
3830.02,39.3891,14.7709,73.8545,4.92363,54.16,-39.3891
3829.51,-19.6917,9.84584,73.8438,152.61,127.996,54.1521
3829,63.9887,9.84441,4.9222,-44.2998,132.9,113.211
3828.49,34.4504,0,88.5868,78.7439,29.5289,44.2934
3827.99,34.4454,14.7623,0,-29.5247,68.8909,14.7623
3827.48,49.2006,24.6003,49.2006,14.7602,63.9608,-54.1207
3826.97,63.9516,-14.7581,19.6774,73.7903,14.7581,24.5968
3826.46,-19.6745,4.91864,54.105,68.8609,0,93.4541
3825.95,54.0972,0,83.6047,24.5896,78.6868,-59.0151
3825.45,-4.91721,-14.7516,78.6754,29.5033,49.1721,39.3377
3824.94,-4.9165,4.9165,54.0815,-19.666,14.7495,73.7475
3824.43,54.0736,24.5789,-9.83157,24.5789,88.4841,14.7474
3823.92,78.6411,24.5754,29.4904,4.91507,73.7261,-4.91507
3823.41,29.4861,-4.91436,-9.82871,68.801,-29.4861,63.8866
3822.9,29.4819,0,49.1364,63.8774,4.91364,29.4819
3822.39,29.4776,4.91293,-58.9552,-29.4776,49.1293,29.4776
3821.88,73.6833,-19.6489,103.157,49.1222,34.3855,54.0344
3821.38,73.6726,0,14.7345,44.2036,19.646,73.6726
3820.87,-44.1971,4.91079,-14.7324,44.1971,4.91079,83.4835
3820.36,58.921,4.91008,14.7302,39.2806,39.2806,9.82016
3819.85,29.4562,34.3656,63.8218,58.9124,68.7312,4.90937
3819.34,19.6346,9.81731,14.726,83.4472,-44.1779,0
3818.83,29.4477,4.90794,98.1589,68.7112,29.4477,-9.81589
3818.32,39.2579,-4.90723,53.9795,29.4434,9.81446,9.81446
3817.81,63.7847,9.81304,49.0652,49.0652,19.6261,39.2522
3817.3,44.1523,0,-9.81161,-29.4348,24.529,4.90581
3816.79,-4.9051,0,-4.9051,122.627,88.2917,-44.1459
3816.28,24.5219,-4.90438,19.6175,58.8526,68.6614,29.4263
3815.77,63.7477,-9.80734,-4.90367,34.3257,53.9404,-14.711
3815.26,53.9326,9.80592,-39.2237,63.7385,58.8355,29.4178
3814.75,93.1427,4.90225,19.609,137.263,58.827,9.8045
3814.24,-53.9169,4.90154,73.523,24.5077,58.8184,29.4092
3813.73,14.7025,9.80165,4.90082,117.62,34.3058,-24.5041
3813.22,29.4007,-14.7003,44.101,9.80023,4.90011,24.5006
3812.71,29.3964,29.3964,-9.7988,39.1952,83.2898,9.7988
3812.2,19.5948,9.79738,19.5948,44.0882,-44.0882,53.8856
3811.69,-34.2859,-4.89798,63.6737,88.1636,107.756,-19.5919
3811.18,58.7672,-9.79454,39.1781,34.2809,0,-19.5891
3810.67,102.828,14.6897,44.069,-24.4828,97.9311,39.1725
3810.16,48.9585,-24.4792,44.0626,83.2294,83.2294,48.9585
3809.65,63.6368,9.79027,4.89513,29.3708,29.3708,53.8465
3809.14,88.0996,4.89442,-4.89442,88.0996,24.4721,39.1554
3808.63,58.7246,-14.6811,-34.256,73.4057,92.9805,68.512
3808.11,29.358,-4.893,48.93,34.251,4.893,48.93
3807.6,48.9229,34.246,-4.89229,68.4921,19.5692,48.9229
