wn,1,2,3,4,5,6
3344.04237,0.33393,0.33392,0.31074,0.33381,0.35761,0.33414
3342.11386,0.33433,0.33421,0.31078,0.33406,0.35788,0.33448
3340.18535,0.33461,0.33448,0.31085,0.33416,0.3581,0.33462
3338.25683,0.33472,0.33469,0.31084,0.33423,0.35836,0.3347
3336.32832,0.33475,0.33478,0.3107,0.3344,0.35868,0.33485
3334.39981,0.33487,0.33484,0.3105,0.33459,0.359,0.33502
3332.47129,0.33509,0.33506,0.31039,0.33465,0.35918,0.33518
3330.54278,0.33527,0.33537,0.31037,0.33457,0.35919,0.33533
3328.61427,0.33538,0.33555,0.31035,0.33451,0.35917,0.3355
3326.68575,0.33553,0.33564,0.31032,0.33451,0.35931,0.33564
3324.75724,0.3357,0.33577,0.31032,0.33452,0.35955,0.33579
3322.82872,0.33576,0.33584,0.3102,0.33458,0.35974,0.33594
3320.90021,0.3357,0.33585,0.30989,0.3347,0.35985,0.33604
3318.9717,0.33563,0.33591,0.30963,0.33479,0.36,0.33608
3317.04318,0.33569,0.33599,0.30958,0.33485,0.36013,0.33607
3315.11467,0.33584,0.336,0.30958,0.33488,0.36008,0.33608
3313.18616,0.33593,0.33599,0.30948,0.33486,0.35993,0.33613
3311.25764,0.33595,0.33606,0.30932,0.33478,0.35992,0.33623
3309.32913,0.33599,0.33622,0.30918,0.33466,0.36002,0.33636
3307.40062,0.33613,0.33635,0.30906,0.33458,0.36,0.33648
3305.4721,0.33618,0.3364,0.30897,0.33453,0.3599,0.3365
3303.54359,0.33605,0.33642,0.30882,0.33449,0.35989,0.33632
3301.61508,0.33596,0.33644,0.30857,0.33445,0.35999,0.33611
3299.68656,0.33596,0.33645,0.30832,0.33443,0.36014,0.33612
3297.75805,0.33599,0.33651,0.30816,0.3344,0.36024,0.33624
3295.82954,0.33609,0.33664,0.30807,0.33436,0.36028,0.33632
3293.90102,0.33625,0.33668,0.308,0.33427,0.36029,0.33635
3291.97251,0.33637,0.33658,0.30797,0.33419,0.36036,0.33637
3290.044,0.33634,0.33651,0.30789,0.33415,0.3605,0.33642
3288.11548,0.33626,0.33653,0.30773,0.3341,0.3606,0.33649
3286.18697,0.33628,0.33658,0.30759,0.33405,0.36062,0.3365
3284.25846,0.33634,0.33658,0.30748,0.33406,0.36062,0.33643
3282.32994,0.33632,0.33655,0.30731,0.33406,0.36063,0.33633
3280.40143,0.33623,0.33653,0.30711,0.33398,0.36058,0.33623
3278.47291,0.33612,0.33654,0.30694,0.33389,0.3604,0.33624
3276.5444,0.33596,0.33647,0.30663,0.3338,0.36016,0.33628
3274.61589,0.33574,0.33628,0.30615,0.33371,0.36004,0.33618
3272.68737,0.33563,0.3362,0.30578,0.33363,0.36005,0.33601
3270.75886,0.33565,0.33629,0.30566,0.33343,0.36007,0.33589
3268.83035,0.33562,0.33627,0.3055,0.33312,0.36009,0.33575
3266.90183,0.33533,0.33602,0.30508,0.33286,0.36009,0.3355
3264.97332,0.33492,0.33571,0.30458,0.3327,0.36005,0.33524
3263.04481,0.33467,0.33546,0.30423,0.33253,0.35995,0.33505
3261.11629,0.3346,0.33526,0.30397,0.33229,0.35972,0.3349
3259.18778,0.33458,0.33504,0.30358,0.332,0.35937,0.33467
3257.25927,0.3345,0.3348,0.30309,0.33169,0.35909,0.33439
3255.33075,0.3343,0.33456,0.30264,0.33136,0.35889,0.33414
3253.40224,0.33397,0.33437,0.30217,0.33097,0.35858,0.33387
